# {"t_start": 1602448160.086903, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,2,3.225465
0.0,2,3.226154
0.0,2,3.226834
0.0,9,3.229787
0.0,4,3.231454
0.0,16,3.237959
0.0,3,3.239462
0.0,5,3.241125
0.0,14,3.24594
0.0,8,3.24892
0.0,2,3.249737
0.0,3,3.251072
0.0,10,3.254446
0.0,5,3.256307
0.0,7,3.258569
0.0,5,3.260233
0.0,3,3.261233
0.0,9,3.264737
0.0,2,3.265595
0.0,2,3.266284
0.0,6,3.268239
0.0,11,3.272197
0.0,2,3.272895
0.0,4,3.274186
0.0,8,3.276834
0.0,14,3.28158
0.0,5,3.283339
0.0,2,3.284119
0.0,15,3.289421
0.0,13,3.293584
0.0,6,3.29566
0.0,2,3.296459
0.0,9,3.299785
0.0,22,3.307333
0.0,3,3.308356
0.0,11,3.31204
0.0,2,3.312749
0.0,5,3.314472
0.0,7,3.316868
0.0,12,3.321072
0.0,9,3.324019
0.0,6,3.326015
0.0,14,3.330727
0.0,5,3.332465
0.0,16,3.33802
0.0,14,3.342683
0.0,10,3.346233
0.0,6,3.348303
0.0,4,3.349798
0.0,4,3.351127
0.0,5,3.3528
0.0,9,3.355817
0.0,2,3.356542
0.0,9,3.359555
0.0,8,3.362199
0.0,31,3.372229
0.0,6,3.374441
0.0,6,3.37652
0.0,5,3.378302
0.0,5,3.379928
0.0,5,3.381512
0.0,8,3.385206
0.0,3,3.386296
0.0,3,3.387306
0.0,2,3.388019
0.0,14,3.392628
0.0,3,3.393644
0.0,12,3.397904
0.0,2,3.398688
0.0,2,3.399535
0.0,3,3.400569
0.0,22,3.407791
0.0,3,3.408807
0.0,9,3.411697
0.0,5,3.417325
0.0,2,3.418497
0.0,3,3.419586
0.0,4,3.420889
0.0,3,3.421879
0.0,3,3.422994
0.0,4,3.424437
0.0,3,3.425435
0.0,2,3.426117
0.0,7,3.428413
0.0,9,3.431507
0.0,6,3.433716
0.0,8,3.436373
0.0,7,3.438666
0.0,8,3.44144
0.0,3,3.442429
0.0,2,3.443139
0.0,5,3.444799
0.0,4,3.446159
0.0,8,3.449149
0.0,2,3.449844
0.0,2,3.450544
0.0,4,3.451865
0.0,8,3.454475
0.0,2,3.455166
0.0,6,3.457411
0.0,14,3.461859
0.0,14,3.466627
0.0,9,3.469536
0.0,7,3.472002
0.0,9,3.475273
0.0,2,3.47594
0.0,24,3.484383
0.0,3,3.485636
0.0,6,3.48763
0.0,16,3.492923
0.0,8,3.495699
0.0,5,3.497906
0.0,3,3.499251
1.0,17,3.504891
0.0,6,3.507065
0.0,7,3.50934
0.0,7,3.511633
0.0,6,3.513833
0.0,3,3.514855
0.0,4,3.516225
0.0,10,3.519473
0.0,7,3.521856
0.0,11,3.525382
0.0,12,3.529387
0.0,18,3.536017
0.0,11,3.539679
0.0,3,3.540712
0.0,7,3.542988
0.0,13,3.547254
0.0,4,3.549021
0.0,10,3.552377
0.0,21,3.559239
0.0,10,3.562757
0.0,5,3.564523
0.0,6,3.566456
0.0,2,3.567111
0.0,19,3.575272
0.0,6,3.577545
0.0,21,3.584932
0.0,3,3.586289
0.0,4,3.587667
0.0,7,3.590015
0.0,4,3.591555
0.0,6,3.593997
0.0,5,3.595786
0.0,4,3.597117
0.0,9,3.6003
0.0,2,3.600993
0.0,8,3.603574
0.0,8,3.60634
0.0,15,3.611207
0.0,4,3.612545
0.0,6,3.61457
0.0,8,3.617378
0.0,6,3.62034
0.0,4,3.625362
0.0,3,3.628692
0.0,2,3.630462
0.0,5,3.637037
0.0,5,3.642321
0.0,10,3.648866
0.0,2,3.650231
0.0,7,3.656214
0.0,3,3.658619
0.0,3,3.660764
0.0,3,3.664662
0.0,2,3.666667
0.0,2,3.668613
0.0,16,3.680585
0.0,6,3.68426
0.0,7,3.689246
0.0,3,3.690658
0.0,10,3.695448
0.0,5,3.698185
0.0,12,3.703139
0.0,3,3.704337
0.0,5,3.70701
0.0,7,3.710812
0.0,9,3.717328
0.0,4,3.72037
0.0,6,3.724218
0.0,6,3.727993
0.0,4,3.730464
0.0,5,3.732723
0.0,3,3.734419
0.0,2,3.735845
0.0,3,3.737304
1.0,18,3.746366
0.0,4,3.748527
0.0,3,3.749962
0.0,2,3.750955
0.0,5,3.753843
0.0,3,3.755567
0.0,6,3.758438
0.0,2,3.759641
0.0,9,3.764927
0.0,5,3.76822
0.0,13,3.776357
0.0,3,3.778061
0.0,2,3.779309
0.0,8,3.783991
0.0,4,3.786468
0.0,6,3.790039
0.0,3,3.791634
0.0,19,3.79923
0.0,6,3.801741
0.0,8,3.804829
0.0,4,3.806266
0.0,8,3.808941
0.0,17,3.877489
0.0,8,3.882837
0.0,27,3.894306
0.0,5,3.896161
0.0,4,3.897751
0.0,24,3.906028
0.0,12,3.909988
0.0,22,3.920422
0.0,11,3.928016
0.0,5,3.930836
0.0,4,3.933145
0.0,3,3.934851
0.0,3,3.936401
0.0,4,3.938048
0.0,5,3.939764
0.0,7,3.942172
0.0,9,3.945316
0.0,6,3.947266
0.0,2,3.94799
0.0,5,3.949599
0.0,6,3.951731
0.0,4,3.953059
0.0,22,3.960226
0.0,2,3.960859
0.0,3,3.961797
0.0,5,3.963556
0.0,6,3.966804
0.0,6,3.970099
0.0,4,3.971748
0.0,7,3.974369
1.0,13,3.978786
0.0,3,3.979701
0.0,6,3.981758
0.0,2,3.982969
0.0,10,3.987071
0.0,15,3.991943
0.0,12,3.995342
0.0,15,4.000995
0.0,3,4.002186
0.0,4,4.003536
0.0,2,4.004211
0.0,13,4.008688
0.0,2,4.009385
1.0,20,4.017096
0.0,2,4.017831
0.0,5,4.019521
0.0,7,4.021858
0.0,2,4.022585
0.0,11,4.026175
0.0,14,4.031052
0.0,8,4.034738
0.0,11,4.03851
0.0,3,4.039648
0.0,3,4.040682
0.0,16,4.045777
0.0,2,4.046503
0.0,3,4.047639
0.0,11,4.052024
0.0,12,4.056248
0.0,2,4.056967
0.0,6,4.058941
0.0,5,4.060613
0.0,12,4.065175
0.0,7,4.068101
0.0,13,4.07256
0.0,4,4.073922
0.0,2,4.074625
0.0,3,4.075618
0.0,6,4.077595
0.0,2,4.078378
0.0,2,4.079164
0.0,4,4.080732
0.0,4,4.082254
0.0,2,4.082992
0.0,11,4.087434
0.0,4,4.093435
0.0,7,4.096423
0.0,7,4.099141
0.0,2,4.099993
0.0,6,4.102278
0.0,3,4.103369
0.0,30,4.11373
0.0,10,4.117099
0.0,2,4.117831
0.0,2,4.118522
0.0,10,4.122105
0.0,3,4.123104
0.0,4,4.124459
0.0,3,4.125506
0.0,2,4.126209
0.0,2,4.12689
0.0,7,4.129472
0.0,13,4.134089
0.0,11,4.137924
0.0,2,4.138714
0.0,9,4.141744
0.0,15,4.146643
0.0,14,4.151709
