# {"t_start": 1602341425.2324522, "env_id": "CartPole-v1"} 
r,l,t
19.0,19,12.286095
40.0,40,12.298543
18.0,18,12.304262
11.0,11,12.308021
15.0,15,12.313103
34.0,34,12.324827
49.0,49,12.341118
44.0,44,12.356337
97.0,97,12.388893
40.0,40,12.403099
62.0,62,12.424925
11.0,11,12.42863
25.0,25,12.437655
12.0,12,12.441712
19.0,19,12.447682
65.0,65,12.469971
23.0,23,12.47807
20.0,20,12.485491
25.0,25,12.494379
16.0,16,12.500272
42.0,42,12.514647
80.0,80,12.542359
11.0,11,12.546019
19.0,19,12.552661
15.0,15,12.558067
27.0,27,12.568664
98.0,98,12.603106
91.0,91,12.635293
39.0,39,12.648205
32.0,32,12.659411
17.0,17,12.666204
89.0,89,12.69642
96.0,96,12.729459
45.0,45,12.745167
31.0,31,12.756932
19.0,19,12.764565
42.0,42,12.779081
26.0,26,12.787748
86.0,86,12.816199
21.0,21,12.823448
49.0,49,12.839531
49.0,49,12.857426
12.0,12,12.861015
23.0,23,12.86937
50.0,50,12.886768
177.0,177,12.948127
91.0,91,13.030116
25.0,25,13.038868
40.0,40,13.052123
16.0,16,13.057499
49.0,49,13.074203
74.0,74,13.098717
43.0,43,13.113446
26.0,26,13.122278
55.0,55,13.140473
62.0,62,13.161122
36.0,36,13.173333
24.0,24,13.181298
31.0,31,13.191848
27.0,27,13.201166
48.0,48,13.217151
82.0,82,13.244988
92.0,92,13.276309
32.0,32,13.28674
16.0,16,13.292434
85.0,85,13.320663
18.0,18,13.327026
96.0,96,13.359792
31.0,31,13.370083
94.0,94,13.402093
29.0,29,13.412666
42.0,42,13.427034
54.0,54,13.445334
88.0,88,13.474997
61.0,61,13.495341
76.0,76,13.521049
35.0,35,13.533027
97.0,97,13.565628
39.0,39,13.578668
61.0,61,13.598994
37.0,37,13.611082
50.0,50,13.627774
39.0,39,13.640791
57.0,57,13.659417
36.0,36,13.672541
107.0,107,13.707754
71.0,71,13.784154
68.0,68,13.807214
53.0,53,13.825252
90.0,90,13.857928
52.0,52,13.876402
26.0,26,13.885484
47.0,47,13.902776
41.0,41,13.915649
35.0,35,13.927851
15.0,15,13.932193
26.0,26,13.941202
36.0,36,13.953546
43.0,43,13.967638
105.0,105,14.004759
22.0,22,14.0125
55.0,55,14.032304
22.0,22,14.044641
138.0,138,14.106497
54.0,54,14.12705
25.0,25,14.13575
17.0,17,14.142187
31.0,31,14.152477
44.0,44,14.167057
51.0,51,14.184107
44.0,44,14.198293
144.0,144,14.248847
15.0,15,14.25348
35.0,35,14.26383
66.0,66,14.285674
41.0,41,14.300434
66.0,66,14.322669
44.0,44,14.33743
52.0,52,14.355665
33.0,33,14.367764
37.0,37,14.380579
74.0,74,14.409053
39.0,39,14.422921
29.0,29,14.434401
61.0,61,14.456515
66.0,66,14.479538
40.0,40,14.493693
27.0,27,14.504633
121.0,121,14.615617
24.0,24,14.623583
50.0,50,14.640729
17.0,17,14.646532
57.0,57,14.665221
89.0,89,14.694398
22.0,22,14.701982
128.0,128,14.744365
57.0,57,14.763483
60.0,60,14.786507
103.0,103,14.824677
31.0,31,14.83646
24.0,24,14.846489
52.0,52,14.865376
22.0,22,14.873685
52.0,52,14.891138
31.0,31,14.901374
69.0,69,14.924529
38.0,38,14.938781
46.0,46,14.953616
56.0,56,14.97514
30.0,30,14.986955
71.0,71,15.010577
37.0,37,15.025526
49.0,49,15.041816
53.0,53,15.05875
91.0,91,15.090185
107.0,107,15.125845
54.0,54,15.143902
42.0,42,15.158368
133.0,133,15.202861
16.0,16,15.208305
60.0,60,15.228537
84.0,84,15.256257
29.0,29,15.26607
111.0,111,15.359474
87.0,87,15.387851
64.0,64,15.410124
34.0,34,15.421835
64.0,64,15.443752
26.0,26,15.452759
36.0,36,15.464216
63.0,63,15.486213
60.0,60,15.506855
64.0,64,15.529443
25.0,25,15.537747
49.0,49,15.553453
43.0,43,15.568025
148.0,148,15.617208
47.0,47,15.633067
65.0,65,15.655217
36.0,36,15.666658
19.0,19,15.673237
46.0,46,15.688485
22.0,22,15.695884
51.0,51,15.713866
44.0,44,15.728732
70.0,70,15.751924
69.0,69,15.7749
43.0,43,15.78891
22.0,22,15.797078
63.0,63,15.817952
21.0,21,15.825081
19.0,19,15.831592
69.0,69,15.858976
102.0,102,15.893392
142.0,142,15.941378
88.0,88,15.971066
20.0,20,15.977833
35.0,35,15.989579
21.0,21,15.997086
39.0,39,16.010529
19.0,19,16.016912
56.0,56,16.088148
43.0,43,16.102419
